Roaster,CoffeeName,Country,Region,Producer,Variety,Processing,Altitude,TastingNotes,HarvestTime,Certification,Latitude,Bean
Gimme Coffee,Honduras Las Penitas,Honduras,,Jorge Bentitez,"Pacas, Typica",Washed,1800,"Chocolate mousse, plum, nectarine, vanilla cream",,Direct Trade,,
Stay Golden Coffee Co.,Hutwe,Democratic Republic of the Congo,Kirumba,,Bourbon,Washed,1790,"Pineapple, mixed berries, sweet",,,,
Methodical Coffee,"Ethiopia, Dur Feres",Ethiopia,Sidama,,"74/158, 74/110, Setami, Mikicho",Natural,1800,"Blueberry, blackberry, cherry",,,,
Verve Coffee Roasters,Costa Rica El Vendaval,Costa Rica,"Santa María, Dota, Tarrazu",Calderon Family,Catuai,Washed,1900 - 2100,"Golden raisin, stroopwafel, cocoa",December - April,,,
Red Rooster Coffee,El Salvador Finca Hungria,El Salvador,Santa Ana,,"Bourbon, Caturra, Pacas, Catimor",Washed,,"Chocolate, honeycomb, sweet",,,,
City of Saints Coffee Roasters,Colombia La Virgen,Colombia,Huila,InConexus,"Caturra, Castillo, Tabi, Colombia, Geisha, San Bernardo",Washed,1760 - 2100,"Wild cherry, apple juice, fortune cookie",January - March,,,
Irving Farm,Mushonyi,Rwanda,Mushonyi Sector,Mushonyi Washing Station,Red Bourbon,Washed,1827,"Orange zest, brown sugar, cardamom",,,,
Airship,Ethiopia Kochere,Ethiopia,Kochere,,Heirloom,Natural,1800 - 1900,"Floral, chocolate, blueberry",,,,
Irving Farm,Baroida,Papua New Guinea,"Western Highlands, Aiyura",Nichol Colbrand,"Arusha, Bourbon, Mondo Novo",Washed,1700 - 1850,"Brown butter, vanilla, hibiscus",,,,
Stay Golden Coffee Co. x Cxffee Black,1616 Collaboration // Genji Challa,Ethiopia,Gera,Nano Challa Cooperative,Indigenous Landraces,Washed,1900 - 2200,"Peach, red fruit tea, floral",,,,
Panther Coffee,Israel Salazar,Colombia,"San Isidro, Sotara, Cauca",Israel Salazar,Castillo,Washed,2000,"Peach, cherry, mandarin orange, sweet, bright, silky",,,2° 28' N,
PT's Coffee Roasting Co.,Neja Fadil Natural,Ethiopia,Guji Zone,Neja Fadil,Regional Landraces,Natural/Dry Processed,2150,"Crème brulee, lemon drop, raspberry",October - December,,,
Huckleberry Roasters,Guatemala Dona Lucinda,Guatemala,Lake Atitlan,Lucinda Puac Perez,Bourbon,Washed,1575 - 1650,"Pie crust, berries, stone fruit",,Relationship Microlot,,
Onyx Coffee,Kenya Gathaithi OT-15,Kenya,Nyeri,Dormans Coffee,"SL28, SL34, Ruiru",Washed,1700,"Peach, white flowers, sweet tea, starfruit",,,,
Blueprint Coffee,Kawo Kamina,Ethiopia,"Masha, Sheka",Moplaco,"74110, 7454, Heirloom",Natural,1750 - 1950,"Strawberry, pineapple, creamy",October - December,,,
Methodical Coffee,"Colombia, Frontera De Planadas",Colombia,Tolima,,"Caturra, Castillo",Washed,1800 - 2000,"Hazelnut, caramel, cinnamon",,,,
Broadsheet Coffee Roasters,Laboyano,Colombia,Huila,Various,"Caturra, Colombia, Castillo, Pink Bourbon",Washed,1600 - 1900,"Blood orange, cherry, baking spice",June - July,,,
Onyx Coffee,Ethiopia Hambela Kirite,Ethiopia,"Gedeb, Yirgacheffe",Michael Adinew,Heirloom,Washed,2000,"Apricot, black tea, dried berries, silky",,,,
Stay Golden Coffee Co.,Finca Santa Elisa Pachup,Guatemala,Acetenango,,"Bourbon, Catuai, Caturra",Washed,1200 - 1600,"Fudge, tangerine, balanced",,,,
George Howell Coffee,Tarrazu,Costa Rica,Tarrazu,,"Caturra, Catuai",Washed,1190 - 1890,"Almond, nougat, milk chocolate, peach",January,,,
Ritual Coffee,ACE - Bola de Oro,Guatemala,Chimaltenango,Mario Barrera,"Caturra, Bourbon",Washed,,"Dried cherry, orange blossom, lime",,,,
Stay Golden Coffee Co.,Valle Verde,Peru,"La Copia, San Ignacio",,"Caturra, Bourbon, Catimor, Typica",Washed,1400 - 1900,"Apricot, coffee cherry, juicy",,,,
George Howell Coffee,Antigua La Flor,Guatemala,Antigua,La Flor Del Café,"Bourbon, Caturra, Catuai",Washed,1670 - 1830,"Chocolate, tangerine, almond",January - March,,,
Tandem Coffee Roasters,La Piramide,Colombia,Inza,,"Caturra, Typica",Washed,1700 - 2000,"Delicate, sweet, citrus",,,,
Maquina Coffee Roasters,"Rwanda, Rambagira Women's Group",Rwanda,Gakenke,Dukundekawa Women's Group,Bourbon,Washed,1800 - 2200,"Apricot, black tea, cherry",July - October,,,
Stay Golden Coffee Co.,Finca Cedral Alto Natural,Costa Rica,Asseri,Jorge Vasquez,Catuai,Natural,1850,"Cherry, caramel, creamy",,,,
Passenger Coffee,Gesha Village 2020 Wet Processed,Ethiopia,Gesha Village Estates,,Illubabor Forest (JARC Selection),Washed,1900 - 2100,"Honeydew, meyer lemon, strawberry",,Reserve Lot,,
Quills Coffee,"Serra Negra, Brazil",Brazil,South Minas,,"Bourbon, Typica, Catuai",Pulped Natural,,"Milk chocolate, fruit, full body",,,,
Atomic Coffee Roasters,Colombia Santa Barbara,Colombia,Antioquia,,"Colombia, Castillo",Fully Washed,1400,"Milk chocolate, caramel, cherry",,,,
Panther Coffee,Finca El Limonar,Guatemala,La Libertad,Rosa Maria Ovalle,Caturra,Washed,1700,"Milk chocolate, fresh black plum, guarapo, creamy",August,,15° 51' N,
Passenger Coffee,El Barril,Nicaragua,Nueva Segovia,Bayardo José and Jimenez Rodríguez,Maracaturra,Washed,1400 - 1500,"Cocoa, shortbread cookie, clementine",,Education Lot,,
Sterling Coffee Roasters,Gunung Tujuh,Sumatra,,,Ateng,Washed,1400 - 1500,"Pecans, basil",,,,
Temple Coffee Roasters,Kenya Gachatha,Kenya,Nyeri,Gachatha Coffee Factory,"SL 28, Ruiru 11, Batian",Washed,1800 - 2100,"Black cherry, green apple, toffee",,,,
George Howell Coffee,"Kanzu, Rwanda",Rwanda,"Nyamasheke, Western Province",,French Mission Bourbon,Washed,1890 - 2190,"Plum, orange, pomegranate",July,,,
Passenger Coffee,Marlenis Imbachi - 2020 Harvest,Colombia,San Agustin,,Pink Bourbon,Washed,1650,"Raspberry, baking spices, citrus",,Reserve Lot,,
Passenger Coffee,San Ignacio,Peru,Cajamarca,,"Caturra, Bourbon, Pache",Washed,1650 - 1700,"Red apple, milk chocolate, orange",,Reserve Lot,,
City of Saints Coffee Roasters,Las Moritas Pacamara,Guatemala,Huehuetenango,Don Higinio,Pacamara,Washed,1800,"Cocoa, starfruit, honeysuckle",December,,,
Anodyne Coffee Roasting,Colombia La Pradera,Colombia,"Aratoca, Santander","Hector and Oscar Daza, Hacienda La Pradera","Castillo, Caturra, Colombia",Fully Washed,1700,"Cherry cola, grenadine, lemon",,"Organic, Rainforest Alliance",,
Maquina Coffee Roasters,Ethiopia Worka Sakaro,Ethiopia,Yirgacheffe,Smallholder group,Mixed Landraces,Fully Washed,1900 - 2250,"Citrus, honeysuckle, jasmine",November - March,,,
Quills Coffee,"Gran Galope, Colombia",Colombia,Huila,,"Caturra, Colombia, Castillo",Washed,,"Toffee, almond, lemon meringue",,,,
Highwire Coffee Roasters,"Bella Carmona, Guatemala",Guatemala,Antigua,,"Bourbon, Caturra",Washed,1650,"Dense, zesty, caramel",,,,
Airship,Sumatra Kerinci Honey,Sumatra,,,Mixed,Honey,1200 - 1600,"Grapefruit, plum, creamy cocoa",,,,
Anodyne Coffee Roasting,Brazil Fazenda Primavera,Brazil,Chapada de Minas,Ricardo Tavares,Yellow Catuai,Natural,1000,"Sweet, chocolate, peanut butter",April - December,Rainforest Alliance,,
Passenger Coffee,Olvin Moreno - Pinares Plot,Honduras,Santa Barbara,Olvin Moreno,Pacas,Washed,1700,"Cocoa, tropical fruit, cooked berries",,Reserve Lot,,
George Howell Coffee,Guduba Light,Ethiopia,Guji,,Local Landraces,Washed,1920 - 2110,"Nectarine, bergamot, honey",December,,,
Passenger Coffee,Marlenis Imbachi - 2019 Harvest,Colombia,San Agustin,Marlenis Imbachi,Pink Bourbon,Washed,1650,"Cherry, apricot, black tea",,Reserve Lot,,
Maquina Coffee Roasters,Bombe,Ethiopia,Sidamo,Basha Bekele,Ethiopia Heirloom,Washed,1800 - 2200,"Violet candy, blackberry, lemon",May,,,
Metric Coffee,Honduras La Comunion,Honduras,,,"Paraneima, Catuai, Bourbon","Washed, Pulped Natural/Honey",1500 - 1650,"Green apple, tangerine, honey",,,,
George Howell Coffee,Matalapa,El Salvador,La Libertad,Vickie Ann Dalton de Diaz,"Pacas, Bourbon",Washed,1250 - 1400,"Orange zest, nougat, lime",January,,,
Passenger Coffee,Olvin Moreno - El Filo,Honduras,Santa Barbara,Olvin Moreno,Catuai,Washed,1550,"Almond, wafer cookie, clementine",,Reserve Lot,,
Novo Coffee,Yachi Kachise,Ethiopia,Jimma Zone,Yachi Kachise Cooperative,Heirloom Varieties,Washed,1850 - 2000,"Green apple, vanilla, lemongrass",October - January,,,
Passenger Coffee,Kanzu - 2019 Harvest,Rwanda,"Nyamasheke, Western Province",,Bourbon,Washed,2000,"Molasses, dried apricot, raisin",,Reserve Lot,,
Sterling Coffee Roasters,Nyeri Kiandu AB Kenya,Kenya,,,"SL-28, SL-34",Washed,1750 - 1950,"Cherries, pomegranate",Summer,,,
